school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,Outcome
GP,M,18,U,GT3,T,4,4,at_home,teacher,course,mother,2,2,0,yes,no,no,no,yes,yes,no,no,3,3,3,1,1,3,2,0
GP,F,15,U,LE3,T,2,1,at_home,teacher,other,mother,1,2,0,yes,no,no,no,yes,yes,yes,no,3,3,2,1,1,3,4,1
GP,M,16,U,LE3,T,2,2,other,other,home,mother,1,2,0,no,no,no,no,yes,yes,yes,no,3,3,3,1,1,3,0,1
GP,M,15,U,GT3,T,3,4,other,other,home,mother,1,2,0,no,yes,no,yes,yes,yes,yes,no,5,5,1,1,1,5,0,1
GP,F,15,U,GT3,T,4,4,teacher,services,reputation,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,2,3,3,1,1,2,2,1
GP,M,15,U,GT3,A,2,2,other,other,home,other,1,2,0,no,yes,no,no,yes,yes,yes,yes,3,5,2,1,1,3,0,1
GP,F,16,U,GT3,T,4,4,at_home,other,home,mother,1,1,0,yes,yes,no,no,yes,yes,yes,no,3,3,3,1,1,2,6,1
GP,M,17,U,GT3,T,3,2,services,services,course,mother,1,1,3,no,yes,no,yes,yes,yes,yes,no,5,5,5,1,1,5,2,0
GP,M,15,U,GT3,T,4,4,teacher,other,reputation,mother,1,2,0,no,no,no,no,yes,yes,yes,no,3,3,1,1,1,1,0,1
GP,M,15,U,GT3,T,4,4,health,health,other,father,1,1,0,no,yes,yes,no,yes,yes,yes,no,5,3,2,1,1,5,0,1
GP,M,16,U,LE3,T,4,2,teacher,other,course,mother,1,2,0,no,no,no,yes,yes,yes,yes,no,3,5,1,1,1,5,0,1
GP,F,16,U,LE3,T,3,2,other,other,reputation,mother,2,2,0,no,yes,no,yes,yes,yes,yes,no,5,3,3,1,1,5,2,0
GP,F,16,U,GT3,T,3,2,services,services,home,mother,1,1,0,no,yes,no,no,no,yes,yes,no,1,2,2,1,1,5,4,1
GP,M,15,U,GT3,T,2,2,other,other,home,mother,1,1,0,no,yes,no,no,yes,yes,yes,yes,3,2,2,1,1,5,10,1
GP,M,16,U,GT3,T,4,4,teacher,other,home,mother,1,2,0,no,yes,no,yes,yes,yes,yes,yes,3,3,5,3,1,5,4,1
GP,M,15,U,LE3,T,3,4,other,other,course,mother,1,2,0,no,no,no,no,no,yes,yes,no,5,3,2,1,1,2,0,1
GP,M,16,R,GT3,T,4,4,other,services,reputation,mother,2,2,0,no,yes,no,yes,yes,yes,yes,yes,2,3,3,1,1,5,2,1
GP,F,15,R,GT3,T,3,4,services,health,course,mother,1,2,0,yes,yes,no,no,no,yes,yes,yes,3,3,2,1,1,5,0,1
GP,M,15,U,GT3,T,4,4,services,teacher,course,father,1,2,0,no,yes,no,yes,yes,yes,yes,no,3,3,3,1,1,5,0,1
GP,M,15,U,GT3,T,2,2,services,services,course,father,1,1,0,yes,yes,no,no,yes,yes,yes,no,5,3,1,1,1,1,0,0
GP,F,16,U,LE3,A,3,2,other,services,home,mother,1,2,0,no,yes,no,no,yes,yes,no,no,1,3,5,1,1,3,6,1
GP,M,15,U,GT3,T,4,2,teacher,other,home,mother,1,2,0,no,yes,no,no,yes,yes,no,no,3,3,3,1,1,5,4,1
GP,F,15,U,LE3,T,4,4,services,teacher,other,father,1,2,0,yes,yes,no,no,no,yes,yes,no,3,3,3,1,1,3,0,1
GP,F,16,U,LE3,T,3,2,services,services,course,mother,4,2,0,no,yes,no,no,yes,yes,yes,no,3,3,3,1,1,3,0,1
GP,M,15,U,LE3,T,4,2,health,other,other,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,3,3,3,1,1,5,0,1
GP,F,15,U,LE3,T,4,2,health,teacher,other,mother,2,1,0,no,no,no,no,yes,yes,no,yes,5,5,5,3,1,5,4,0
GP,M,15,U,GT3,T,4,4,teacher,services,reputation,mother,1,2,0,no,yes,no,yes,yes,yes,no,no,3,2,2,1,1,5,6,1
GP,F,16,U,LE3,T,4,2,teacher,health,home,mother,1,2,0,yes,yes,no,yes,yes,yes,yes,no,2,3,3,1,1,3,0,1
GP,F,16,U,LE3,T,4,2,at_home,services,course,mother,4,2,0,no,yes,no,yes,yes,yes,yes,no,5,3,3,1,1,1,2,1
GP,F,15,R,LE3,T,3,2,teacher,services,home,mother,2,2,0,yes,yes,no,no,yes,yes,yes,no,3,1,3,1,1,3,0,0
GP,F,15,R,LE3,T,2,1,other,other,reputation,mother,1,2,0,yes,yes,no,no,no,yes,yes,yes,2,3,3,1,1,5,2,0
GP,F,16,U,GT3,T,3,2,other,other,home,mother,1,2,0,yes,yes,no,yes,yes,yes,yes,yes,3,3,2,1,1,5,4,0
GP,M,15,U,LE3,T,3,2,services,services,home,mother,2,2,0,no,no,yes,yes,yes,yes,yes,no,5,3,3,1,1,3,0,1
GP,F,15,U,GT3,T,4,4,other,services,reputation,father,2,2,0,no,no,no,no,yes,yes,yes,yes,3,3,3,1,1,5,2,1
GP,F,15,R,GT3,T,1,1,at_home,other,home,mother,2,4,0,yes,yes,yes,yes,yes,yes,yes,no,3,1,2,1,1,1,2,1
GP,F,16,U,GT3,T,4,4,services,services,other,mother,1,1,0,no,yes,no,yes,yes,yes,yes,no,3,5,5,3,1,3,12,0
GP,M,16,U,GT3,T,4,4,services,services,other,father,1,2,0,no,yes,no,yes,yes,yes,yes,yes,3,3,3,1,1,3,0,1
GP,M,15,U,GT3,T,4,4,services,other,course,mother,1,1,0,no,yes,yes,yes,no,yes,yes,no,5,3,3,1,1,5,0,1
GP,M,15,R,GT3,T,4,4,other,other,home,father,4,4,0,no,yes,no,yes,yes,yes,yes,no,1,2,5,3,1,1,10,0
GP,F,16,U,LE3,T,2,2,at_home,other,home,mother,1,2,1,yes,no,no,yes,yes,yes,yes,no,3,1,2,1,1,5,10,0
GP,M,15,U,GT3,T,2,1,health,services,reputation,mother,1,2,0,no,no,no,yes,yes,yes,yes,yes,5,3,2,1,1,5,2,0
GP,M,16,U,GT3,T,4,4,at_home,services,course,father,1,2,0,no,yes,no,yes,yes,yes,yes,no,5,3,3,1,1,5,6,1
GP,M,16,U,GT3,T,2,2,other,other,course,mother,2,4,0,no,yes,no,yes,no,yes,yes,yes,2,2,3,1,1,1,4,1
GP,F,15,U,LE3,T,4,4,services,at_home,course,mother,1,2,0,no,yes,no,no,yes,yes,yes,yes,3,3,3,1,1,5,2,1
GP,F,18,U,LE3,T,3,1,other,other,course,mother,2,1,0,no,no,no,yes,yes,yes,yes,yes,3,2,3,3,1,3,2,1
GP,M,16,U,LE3,T,2,1,other,other,course,mother,1,2,1,no,no,no,no,yes,yes,no,yes,3,3,3,1,1,5,0,0
GP,F,15,U,GT3,T,4,4,teacher,services,course,mother,2,1,0,no,no,no,yes,yes,yes,yes,no,3,3,2,1,1,5,4,1
GP,F,15,R,GT3,T,1,1,other,other,course,mother,2,1,1,no,no,no,no,yes,yes,yes,yes,5,5,5,1,1,1,0,0
GP,F,15,U,LE3,A,3,2,services,services,home,mother,1,2,0,no,no,no,no,no,yes,no,yes,1,3,2,1,1,1,12,0
GP,F,16,U,LE3,T,2,1,other,at_home,course,mother,1,1,0,no,no,no,no,yes,yes,yes,no,3,3,3,3,1,1,2,0
GP,F,15,U,GT3,T,1,2,at_home,other,course,mother,1,2,0,no,yes,no,no,no,yes,yes,no,3,3,2,1,1,5,4,1
GP,F,15,U,GT3,T,2,2,at_home,other,course,father,1,2,0,no,no,no,no,no,yes,no,yes,1,3,3,1,1,1,6,0
GP,M,15,U,LE3,T,2,1,services,other,course,mother,4,1,0,no,no,no,no,yes,yes,yes,no,3,5,5,1,1,5,0,0
GP,F,18,R,GT3,T,1,1,other,other,course,mother,1,1,1,no,no,no,no,yes,yes,yes,yes,2,2,5,1,1,3,0,0
GP,M,16,U,LE3,T,2,1,at_home,other,course,mother,1,1,1,no,no,no,yes,yes,yes,yes,no,3,3,3,3,1,5,6,0
GP,M,19,U,LE3,T,3,2,services,at_home,home,mother,1,1,0,no,yes,no,no,yes,no,yes,yes,3,5,3,1,1,3,4,0
GP,M,15,R,GT3,T,2,4,at_home,services,course,mother,1,2,0,yes,no,yes,yes,yes,yes,no,no,3,3,3,1,1,1,0,0
GP,M,16,U,LE3,T,1,2,other,services,course,mother,2,1,1,no,yes,no,no,no,yes,yes,no,3,3,5,3,1,5,0,0
GP,M,17,R,LE3,T,2,1,at_home,other,course,mother,2,1,1,no,no,yes,yes,yes,no,yes,yes,2,3,2,1,1,5,10,0
GP,M,16,U,GT3,T,2,2,at_home,services,course,father,1,1,1,no,no,no,no,yes,no,yes,no,5,3,2,1,1,2,2,0
GP,M,16,U,GT3,T,3,2,at_home,other,course,father,1,2,0,no,no,no,no,yes,no,yes,no,3,3,5,1,1,3,0,0
GP,F,16,U,LE3,T,4,2,health,services,home,father,1,2,0,no,no,no,no,yes,yes,yes,yes,3,2,3,1,1,3,0,1
GP,F,16,U,GT3,T,2,2,other,other,home,mother,1,2,0,no,no,no,no,no,yes,yes,no,5,1,5,1,1,3,0,1
